station,horizon,persistence,actual_events,predicted_events,matched_events,false_alarms,missed_events,event_precision,event_recall,event_f1,onset_error_hours,onset_error_hours_n,peak_error_hours,peak_error_hours_n,duration_error_hours,duration_error_hours_n,recovery_error_hours,recovery_error_hours_n
Nehru Nagar Delhi DPCC,1,2,95,87,78,9,17,0.896551724137931,0.8210526315789474,0.8571428571428572,2.1363636363636362,66,5.0256410256410255,78,2.2857142857142856,56,1.196969696969697,66
Nehru Nagar Delhi DPCC,1,3,80,76,68,8,12,0.8947368421052632,0.85,0.8717948717948718,2.2857142857142856,56,5.602941176470588,68,2.4680851063829787,47,1.2456140350877194,57
Nehru Nagar Delhi DPCC,1,6,52,50,44,6,8,0.88,0.8461538461538461,0.8627450980392156,3.0,34,8.022727272727273,44,3.074074074074074,27,1.4857142857142858,35
Nehru Nagar Delhi DPCC,6,2,101,75,59,16,42,0.7866666666666666,0.5841584158415841,0.6704545454545454,7.2,40,7.559322033898305,59,11.266666666666667,30,7.078947368421052,38
Nehru Nagar Delhi DPCC,6,3,83,67,54,13,29,0.8059701492537313,0.6506024096385542,0.7200000000000001,7.857142857142857,35,8.166666666666666,54,12.23076923076923,26,7.705882352941177,34
Nehru Nagar Delhi DPCC,6,6,47,41,32,9,15,0.7804878048780488,0.6808510638297872,0.7272727272727273,10.08,25,12.46875,32,15.833333333333334,18,10.217391304347826,23
Nehru Nagar Delhi DPCC,12,2,103,90,60,30,43,0.6666666666666666,0.5825242718446602,0.621761658031088,5.613636363636363,44,9.65,60,5.787878787878788,33,6.076923076923077,39
Nehru Nagar Delhi DPCC,12,3,84,72,53,19,31,0.7361111111111112,0.6309523809523809,0.6794871794871795,6.1,40,10.79245283018868,53,6.413793103448276,29,7.0,33
Nehru Nagar Delhi DPCC,12,6,54,54,40,14,14,0.7407407407407407,0.7407407407407407,0.7407407407407407,8.148148148148149,27,13.125,40,6.2,20,7.5,24
Nehru Nagar Delhi DPCC,24,2,101,91,63,28,38,0.6923076923076923,0.6237623762376238,0.6562500000000001,4.809523809523809,42,9.476190476190476,63,4.866666666666666,30,5.325,40
Nehru Nagar Delhi DPCC,24,3,80,79,56,23,24,0.7088607594936709,0.7,0.7044025157232704,5.131578947368421,38,10.607142857142858,56,5.222222222222222,27,6.0588235294117645,34
Nehru Nagar Delhi DPCC,24,6,57,59,40,19,17,0.6779661016949152,0.7017543859649122,0.689655172413793,7.12,25,13.1,40,4.625,16,6.173913043478261,23
Okhla Phase-2 Delhi DPCC,1,2,43,40,36,4,7,0.9,0.8372093023255814,0.8674698795180723,2.12,25,1.7222222222222223,36,2.5,18,0.8076923076923077,26
Okhla Phase-2 Delhi DPCC,1,3,36,35,32,3,4,0.9142857142857143,0.8888888888888888,0.9014084507042254,2.272727272727273,22,1.875,32,2.75,16,0.8260869565217391,23
Okhla Phase-2 Delhi DPCC,1,6,22,23,21,2,1,0.9130434782608695,0.9545454545454546,0.9333333333333332,2.6875,16,2.238095238095238,21,3.090909090909091,11,1.0769230769230769,13
Okhla Phase-2 Delhi DPCC,6,2,44,36,26,10,18,0.7222222222222222,0.5909090909090909,0.65,5.846153846153846,13,5.615384615384615,26,6.571428571428571,7,5.777777777777778,9
Okhla Phase-2 Delhi DPCC,6,3,39,29,24,5,15,0.8275862068965517,0.6153846153846154,0.7058823529411765,6.333333333333333,12,6.083333333333333,24,6.571428571428571,7,5.777777777777778,9
Okhla Phase-2 Delhi DPCC,6,6,21,17,14,3,7,0.8235294117647058,0.6666666666666666,0.7368421052631577,6.111111111111111,9,9.071428571428571,14,5.0,6,6.375,8
Okhla Phase-2 Delhi DPCC,12,2,48,36,27,9,21,0.75,0.5625,0.6428571428571429,2.090909090909091,11,3.8518518518518516,27,4.571428571428571,7,2.4444444444444446,9
Okhla Phase-2 Delhi DPCC,12,3,41,32,24,8,17,0.75,0.5853658536585366,0.6575342465753423,2.3,10,4.25,24,4.571428571428571,7,2.4444444444444446,9
Okhla Phase-2 Delhi DPCC,12,6,28,22,18,4,10,0.8181818181818182,0.6428571428571429,0.7200000000000001,2.5,8,4.777777777777778,18,5.4,5,2.0,6
Okhla Phase-2 Delhi DPCC,24,2,45,42,28,14,17,0.6666666666666666,0.6222222222222222,0.6436781609195403,2.4285714285714284,14,3.8214285714285716,28,6.0,8,3.0833333333333335,12
Okhla Phase-2 Delhi DPCC,24,3,35,33,22,11,13,0.6666666666666666,0.6285714285714286,0.6470588235294118,2.909090909090909,11,4.636363636363637,22,6.0,8,3.0,11
